index,Question,Segment Type,Segment Description,Answer,Count,Percentage
27,What social platform has influenced your online shopping most?,University,University of Pennsylvania,Snapchat,0,0.0
28,What social platform has influenced your online shopping most?,University,University of Pennsylvania,Twitter,0,0.0
29,What social platform has influenced your online shopping most?,University,University of Pennsylvania,None,2,0.5
30,What social platform has influenced your online shopping most?,University,Students of New York,Facebook,0,0.0
31,What social platform has influenced your online shopping most?,University,Students of New York,Instagram,21,0.467
32,What social platform has influenced your online shopping most?,University,Students of New York,Snapchat,1,0.022
33,What social platform has influenced your online shopping most?,University,Students of New York,Twitter,5,0.111
34,What social platform has influenced your online shopping most?,University,Students of New York,None,18,0.4
35,What social platform has influenced your online shopping most?,University,University of Central Arkansas,Facebook,0,0.0
36,What social platform has influenced your online shopping most?,University,University of Central Arkansas,Instagram,1,1.0
37,What social platform has influenced your online shopping most?,University,University of Central Arkansas,Snapchat,0,0.0
38,What social platform has influenced your online shopping most?,University,University of Central Arkansas,Twitter,0,0.0
39,What social platform has influenced your online shopping most?,University,University of Central Arkansas,None,0,0.0
40,What social platform has influenced your online shopping most?,University,Northeastern University,Facebook,1,0.5
41,What social platform has influenced your online shopping most?,University,Northeastern University,Instagram,0,0.0
42,What social platform has influenced your online shopping most?,University,Northeastern University,Snapchat,0,0.0
43,What social platform has influenced your online shopping most?,University,Northeastern University,Twitter,0,0.0
44,What social platform has influenced your online shopping most?,University,Northeastern University,None,1,0.5
45,What social platform has influenced your online shopping most?,University,West Virginia University ,Facebook,0,0.0
46,What social platform has influenced your online shopping most?,University,West Virginia University ,Instagram,0,0.0
47,What social platform has influenced your online shopping most?,University,West Virginia University ,Snapchat,0,0.0
48,What social platform has influenced your online shopping most?,University,West Virginia University ,Twitter,0,0.0
49,What social platform has influenced your online shopping most?,University,West Virginia University ,None,2,1.0
50,What social platform has influenced your online shopping most?,University,Northern Arizona University,Facebook,1,1.0
51,What social platform has influenced your online shopping most?,University,Northern Arizona University,Instagram,0,0.0
52,What social platform has influenced your online shopping most?,University,Northern Arizona University,Snapchat,0,0.0
53,What social platform has influenced your online shopping most?,University,Northern Arizona University,Twitter,0,0.0
54,What social platform has influenced your online shopping most?,University,Northern Arizona University,None,0,0.0
55,What social platform has influenced your online shopping most?,University,"University of California, Santa Barbara",Facebook,1,1.0
56,What social platform has influenced your online shopping most?,University,"University of California, Santa Barbara",Instagram,0,0.0
57,What social platform has influenced your online shopping most?,University,"University of California, Santa Barbara",Snapchat,0,0.0
58,What social platform has influenced your online shopping most?,University,"University of California, Santa Barbara",Twitter,0,0.0
59,What social platform has influenced your online shopping most?,University,"University of California, Santa Barbara",None,0,0.0
60,What social platform has influenced your online shopping most?,University,University of Memphis,Facebook,0,0.0
61,What social platform has influenced your online shopping most?,University,University of Memphis,Instagram,0,0.0
62,What social platform has influenced your online shopping most?,University,University of Memphis,Snapchat,0,0.0
63,What social platform has influenced your online shopping most?,University,University of Memphis,Twitter,0,0.0
64,What social platform has influenced your online shopping most?,University,University of Memphis,None,1,1.0
65,What social platform has influenced your online shopping most?,University,Auburn University,Facebook,0,0.0
66,What social platform has influenced your online shopping most?,University,Auburn University,Instagram,0,0.0
67,What social platform has influenced your online shopping most?,University,Auburn University,Snapchat,0,0.0
68,What social platform has influenced your online shopping most?,University,Auburn University,Twitter,0,0.0
69,What social platform has influenced your online shopping most?,University,Auburn University,None,4,1.0
70,What social platform has influenced your online shopping most?,University,Randolph-Macon College,Facebook,1,0.143
71,What social platform has influenced your online shopping most?,University,Randolph-Macon College,Instagram,2,0.286
72,What social platform has influenced your online shopping most?,University,Randolph-Macon College,Snapchat,0,0.0
73,What social platform has influenced your online shopping most?,University,Randolph-Macon College,Twitter,1,0.143
74,What social platform has influenced your online shopping most?,University,Randolph-Macon College,None,3,0.429
75,What social platform has influenced your online shopping most?,University,Wisconsin HS,Facebook,0,0.0
76,What social platform has influenced your online shopping most?,University,Wisconsin HS,Instagram,0,0.0
77,What social platform has influenced your online shopping most?,University,Wisconsin HS,Snapchat,1,1.0
78,What social platform has influenced your online shopping most?,University,Wisconsin HS,Twitter,0,0.0
79,What social platform has influenced your online shopping most?,University,Wisconsin HS,None,0,0.0
80,What social platform has influenced your online shopping most?,University,Penn State University,Facebook,0,0.0
81,What social platform has influenced your online shopping most?,University,Penn State University,Instagram,1,0.333
82,What social platform has influenced your online shopping most?,University,Penn State University,Snapchat,1,0.333
83,What social platform has influenced your online shopping most?,University,Penn State University,Twitter,0,0.0
84,What social platform has influenced your online shopping most?,University,Penn State University,None,1,0.333
85,What social platform has influenced your online shopping most?,University,Case Western Reserve University,Facebook,1,0.25
86,What social platform has influenced your online shopping most?,University,Case Western Reserve University,Instagram,0,0.0
87,What social platform has influenced your online shopping most?,University,Case Western Reserve University,Snapchat,0,0.0
88,What social platform has influenced your online shopping most?,University,Case Western Reserve University,Twitter,0,0.0
89,What social platform has influenced your online shopping most?,University,Case Western Reserve University,None,3,0.75
90,What social platform has influenced your online shopping most?,University,Rutgers University,Facebook,0,0.0
91,What social platform has influenced your online shopping most?,University,Rutgers University,Instagram,0,0.0
92,What social platform has influenced your online shopping most?,University,Rutgers University,Snapchat,0,0.0
93,What social platform has influenced your online shopping most?,University,Rutgers University,Twitter,0,0.0
94,What social platform has influenced your online shopping most?,University,Rutgers University,None,1,1.0
95,What social platform has influenced your online shopping most?,University,University of Oregon,Facebook,1,0.25
96,What social platform has influenced your online shopping most?,University,University of Oregon,Instagram,0,0.0
97,What social platform has influenced your online shopping most?,University,University of Oregon,Snapchat,2,0.5
98,What social platform has influenced your online shopping most?,University,University of Oregon,Twitter,0,0.0
99,What social platform has influenced your online shopping most?,University,University of Oregon,None,1,0.25
100,What social platform has influenced your online shopping most?,University,University of Toronto,Facebook,1,0.333
101,What social platform has influenced your online shopping most?,University,University of Toronto,Instagram,1,0.333
102,What social platform has influenced your online shopping most?,University,University of Toronto,Snapchat,0,0.0
103,What social platform has influenced your online shopping most?,University,University of Toronto,Twitter,0,0.0
104,What social platform has influenced your online shopping most?,University,University of Toronto,None,1,0.333
105,What social platform has influenced your online shopping most?,University,State University of New York Geneso,Facebook,0,0.0
106,What social platform has influenced your online shopping most?,University,State University of New York Geneso,Instagram,0,0.0
107,What social platform has influenced your online shopping most?,University,State University of New York Geneso,Snapchat,0,0.0
108,What social platform has influenced your online shopping most?,University,State University of New York Geneso,Twitter,0,0.0
109,What social platform has influenced your online shopping most?,University,State University of New York Geneso,None,1,1.0
110,What social platform has influenced your online shopping most?,University,Carthage College,Facebook,0,0.0
111,What social platform has influenced your online shopping most?,University,Carthage College,Instagram,0,0.0
112,What social platform has influenced your online shopping most?,University,Carthage College,Snapchat,0,0.0
113,What social platform has influenced your online shopping most?,University,Carthage College,Twitter,0,0.0
114,What social platform has influenced your online shopping most?,University,Carthage College,None,1,1.0
115,What social platform has influenced your online shopping most?,University,University of South Carolina,Facebook,0,0.0
116,What social platform has influenced your online shopping most?,University,University of South Carolina,Instagram,0,0.0
117,What social platform has influenced your online shopping most?,University,University of South Carolina,Snapchat,0,0.0
118,What social platform has influenced your online shopping most?,University,University of South Carolina,Twitter,0,0.0
119,What social platform has influenced your online shopping most?,University,University of South Carolina,None,4,1.0
120,What social platform has influenced your online shopping most?,University,Wesleyan University,Facebook,1,1.0
121,What social platform has influenced your online shopping most?,University,Wesleyan University,Instagram,0,0.0
122,What social platform has influenced your online shopping most?,University,Wesleyan University,Snapchat,0,0.0
123,What social platform has influenced your online shopping most?,University,Wesleyan University,Twitter,0,0.0
124,What social platform has influenced your online shopping most?,University,Wesleyan University,None,0,0.0
125,What social platform has influenced your online shopping most?,University,Memorial University of Newfoundland,Facebook,0,0.0
126,What social platform has influenced your online shopping most?,University,Memorial University of Newfoundland,Instagram,0,0.0
127,What social platform has influenced your online shopping most?,University,Memorial University of Newfoundland,Snapchat,0,0.0
128,What social platform has influenced your online shopping most?,University,Memorial University of Newfoundland,Twitter,0,0.0
129,What social platform has influenced your online shopping most?,University,Memorial University of Newfoundland,None,1,1.0
130,What social platform has influenced your online shopping most?,University,University of Kansas,Facebook,0,0.0
131,What social platform has influenced your online shopping most?,University,University of Kansas,Instagram,0,0.0
132,What social platform has influenced your online shopping most?,University,University of Kansas,Snapchat,0,0.0
133,What social platform has influenced your online shopping most?,University,University of Kansas,Twitter,1,1.0
134,What social platform has influenced your online shopping most?,University,University of Kansas,None,0,0.0
135,What social platform has influenced your online shopping most?,University,University of Redlands,Facebook,0,0.0
136,What social platform has influenced your online shopping most?,University,University of Redlands,Instagram,2,1.0
137,What social platform has influenced your online shopping most?,University,University of Redlands,Snapchat,0,0.0
138,What social platform has influenced your online shopping most?,University,University of Redlands,Twitter,0,0.0
139,What social platform has influenced your online shopping most?,University,University of Redlands,None,0,0.0
140,What social platform has influenced your online shopping most?,University,University of Arkansas,Facebook,1,0.053
141,What social platform has influenced your online shopping most?,University,University of Arkansas,Instagram,10,0.526
142,What social platform has influenced your online shopping most?,University,University of Arkansas,Snapchat,0,0.0
143,What social platform has influenced your online shopping most?,University,University of Arkansas,Twitter,3,0.158
144,What social platform has influenced your online shopping most?,University,University of Arkansas,None,5,0.263
145,What social platform has influenced your online shopping most?,University,Richland High School,Facebook,0,0.0
146,What social platform has influenced your online shopping most?,University,Richland High School,Instagram,0,0.0
147,What social platform has influenced your online shopping most?,University,Richland High School,Snapchat,0,0.0
148,What social platform has influenced your online shopping most?,University,Richland High School,Twitter,0,0.0
149,What social platform has influenced your online shopping most?,University,Richland High School,None,1,1.0
150,What social platform has influenced your online shopping most?,University,Wake Forest University,Facebook,1,1.0
151,What social platform has influenced your online shopping most?,University,Wake Forest University,Instagram,0,0.0
152,What social platform has influenced your online shopping most?,University,Wake Forest University,Snapchat,0,0.0
153,What social platform has influenced your online shopping most?,University,Wake Forest University,Twitter,0,0.0
154,What social platform has influenced your online shopping most?,University,Wake Forest University,None,0,0.0
155,What social platform has influenced your online shopping most?,University,Iowa State University,Facebook,0,0.0
156,What social platform has influenced your online shopping most?,University,Iowa State University,Instagram,1,0.333
157,What social platform has influenced your online shopping most?,University,Iowa State University,Snapchat,0,0.0
158,What social platform has influenced your online shopping most?,University,Iowa State University,Twitter,0,0.0
159,What social platform has influenced your online shopping most?,University,Iowa State University,None,2,0.667
160,What social platform has influenced your online shopping most?,University,Florida Gulf Coast University,Facebook,0,0.0
161,What social platform has influenced your online shopping most?,University,Florida Gulf Coast University,Instagram,1,1.0
162,What social platform has influenced your online shopping most?,University,Florida Gulf Coast University,Snapchat,0,0.0
163,What social platform has influenced your online shopping most?,University,Florida Gulf Coast University,Twitter,0,0.0
164,What social platform has influenced your online shopping most?,University,Florida Gulf Coast University,None,0,0.0
165,What social platform has influenced your online shopping most?,University,University of Central Missouri,Facebook,1,0.333
166,What social platform has influenced your online shopping most?,University,University of Central Missouri,Instagram,0,0.0
167,What social platform has influenced your online shopping most?,University,University of Central Missouri,Snapchat,0,0.0
168,What social platform has influenced your online shopping most?,University,University of Central Missouri,Twitter,0,0.0
169,What social platform has influenced your online shopping most?,University,University of Central Missouri,None,2,0.667
170,What social platform has influenced your online shopping most?,University,California State University Long Beach,Facebook,0,0.0
171,What social platform has influenced your online shopping most?,University,California State University Long Beach,Instagram,1,1.0
172,What social platform has influenced your online shopping most?,University,California State University Long Beach,Snapchat,0,0.0
173,What social platform has influenced your online shopping most?,University,California State University Long Beach,Twitter,0,0.0
174,What social platform has influenced your online shopping most?,University,California State University Long Beach,None,0,0.0
175,What social platform has influenced your online shopping most?,University,Chaparral High School,Facebook,0,0.0
176,What social platform has influenced your online shopping most?,University,Chaparral High School,Instagram,1,1.0
177,What social platform has influenced your online shopping most?,University,Chaparral High School,Snapchat,0,0.0
178,What social platform has influenced your online shopping most?,University,Chaparral High School,Twitter,0,0.0
179,What social platform has influenced your online shopping most?,University,Chaparral High School,None,0,0.0
180,What social platform has influenced your online shopping most?,University,Colorado Academy,Facebook,1,0.5
181,What social platform has influenced your online shopping most?,University,Colorado Academy,Instagram,0,0.0
182,What social platform has influenced your online shopping most?,University,Colorado Academy,Snapchat,0,0.0
183,What social platform has influenced your online shopping most?,University,Colorado Academy,Twitter,0,0.0
184,What social platform has influenced your online shopping most?,University,Colorado Academy,None,1,0.5
185,What social platform has influenced your online shopping most?,University,United States Naval Academy,Facebook,0,0.0
186,What social platform has influenced your online shopping most?,University,United States Naval Academy,Instagram,0,0.0
187,What social platform has influenced your online shopping most?,University,United States Naval Academy,Snapchat,0,0.0
188,What social platform has influenced your online shopping most?,University,United States Naval Academy,Twitter,0,0.0
189,What social platform has influenced your online shopping most?,University,United States Naval Academy,None,1,1.0
190,What social platform has influenced your online shopping most?,University,University of Wisconsin-Whitewater,Facebook,0,0.0
191,What social platform has influenced your online shopping most?,University,University of Wisconsin-Whitewater,Instagram,0,0.0
192,What social platform has influenced your online shopping most?,University,University of Wisconsin-Whitewater,Snapchat,0,0.0
193,What social platform has influenced your online shopping most?,University,University of Wisconsin-Whitewater,Twitter,1,1.0
194,What social platform has influenced your online shopping most?,University,University of Wisconsin-Whitewater,None,0,0.0
195,What social platform has influenced your online shopping most?,University,Lock Haven University,Facebook,1,1.0
196,What social platform has influenced your online shopping most?,University,Lock Haven University,Instagram,0,0.0
197,What social platform has influenced your online shopping most?,University,Lock Haven University,Snapchat,0,0.0
198,What social platform has influenced your online shopping most?,University,Lock Haven University,Twitter,0,0.0
199,What social platform has influenced your online shopping most?,University,Lock Haven University,None,0,0.0
200,What social platform has influenced your online shopping most?,University,Kalamazoo College,Facebook,0,0.0
201,What social platform has influenced your online shopping most?,University,Kalamazoo College,Instagram,1,1.0
202,What social platform has influenced your online shopping most?,University,Kalamazoo College,Snapchat,0,0.0
203,What social platform has influenced your online shopping most?,University,Kalamazoo College,Twitter,0,0.0
204,What social platform has influenced your online shopping most?,University,Kalamazoo College,None,0,0.0
205,What social platform has influenced your online shopping most?,University,Stanford University,Facebook,2,0.222
206,What social platform has influenced your online shopping most?,University,Stanford University,Instagram,2,0.222
207,What social platform has influenced your online shopping most?,University,Stanford University,Snapchat,0,0.0
208,What social platform has influenced your online shopping most?,University,Stanford University,Twitter,0,0.0
209,What social platform has influenced your online shopping most?,University,Stanford University,None,5,0.556
210,What social platform has influenced your online shopping most?,University,Vanderbilt University,Facebook,15,0.375
211,What social platform has influenced your online shopping most?,University,Vanderbilt University,Instagram,11,0.275
212,What social platform has influenced your online shopping most?,University,Vanderbilt University,Snapchat,1,0.025
213,What social platform has influenced your online shopping most?,University,Vanderbilt University,Twitter,0,0.0
214,What social platform has influenced your online shopping most?,University,Vanderbilt University,None,13,0.325
215,What social platform has influenced your online shopping most?,University,Chapman University,Facebook,2,0.2
216,What social platform has influenced your online shopping most?,University,Chapman University,Instagram,6,0.6
217,What social platform has influenced your online shopping most?,University,Chapman University,Snapchat,0,0.0
218,What social platform has influenced your online shopping most?,University,Chapman University,Twitter,0,0.0
219,What social platform has influenced your online shopping most?,University,Chapman University,None,2,0.2
220,What social platform has influenced your online shopping most?,University,Missouri State University,Facebook,3,0.12
221,What social platform has influenced your online shopping most?,University,Missouri State University,Instagram,10,0.4
222,What social platform has influenced your online shopping most?,University,Missouri State University,Snapchat,0,0.0
223,What social platform has influenced your online shopping most?,University,Missouri State University,Twitter,2,0.08
224,What social platform has influenced your online shopping most?,University,Missouri State University,None,10,0.4
225,What social platform has influenced your online shopping most?,University,Emory University,Facebook,15,0.319
226,What social platform has influenced your online shopping most?,University,Emory University,Instagram,14,0.298
227,What social platform has influenced your online shopping most?,University,Emory University,Snapchat,2,0.043
228,What social platform has influenced your online shopping most?,University,Emory University,Twitter,1,0.021
229,What social platform has influenced your online shopping most?,University,Emory University,None,15,0.319
230,What social platform has influenced your online shopping most?,University,University of Richmond,Facebook,3,0.6
231,What social platform has influenced your online shopping most?,University,University of Richmond,Instagram,0,0.0
232,What social platform has influenced your online shopping most?,University,University of Richmond,Snapchat,0,0.0
233,What social platform has influenced your online shopping most?,University,University of Richmond,Twitter,0,0.0
234,What social platform has influenced your online shopping most?,University,University of Richmond,None,2,0.4
235,What social platform has influenced your online shopping most?,University,Medford High School,Facebook,0,0.0
236,What social platform has influenced your online shopping most?,University,Medford High School,Instagram,0,0.0
237,What social platform has influenced your online shopping most?,University,Medford High School,Snapchat,0,0.0
238,What social platform has influenced your online shopping most?,University,Medford High School,Twitter,0,0.0
239,What social platform has influenced your online shopping most?,University,Medford High School,None,1,1.0
240,What social platform has influenced your online shopping most?,University,University of British Columbia,Facebook,1,0.333
241,What social platform has influenced your online shopping most?,University,University of British Columbia,Instagram,0,0.0
242,What social platform has influenced your online shopping most?,University,University of British Columbia,Snapchat,0,0.0
243,What social platform has influenced your online shopping most?,University,University of British Columbia,Twitter,0,0.0
244,What social platform has influenced your online shopping most?,University,University of British Columbia,None,2,0.667
245,What social platform has influenced your online shopping most?,University,Colby College,Facebook,0,0.0
246,What social platform has influenced your online shopping most?,University,Colby College,Instagram,2,1.0
247,What social platform has influenced your online shopping most?,University,Colby College,Snapchat,0,0.0
248,What social platform has influenced your online shopping most?,University,Colby College,Twitter,0,0.0
249,What social platform has influenced your online shopping most?,University,Colby College,None,0,0.0
250,What social platform has influenced your online shopping most?,University,Bates College,Facebook,8,0.17
251,What social platform has influenced your online shopping most?,University,Bates College,Instagram,18,0.383
252,What social platform has influenced your online shopping most?,University,Bates College,Snapchat,0,0.0
253,What social platform has influenced your online shopping most?,University,Bates College,Twitter,4,0.085
254,What social platform has influenced your online shopping most?,University,Bates College,None,17,0.362
255,What social platform has influenced your online shopping most?,University,"Westport, CT",Facebook,1,1.0
256,What social platform has influenced your online shopping most?,University,"Westport, CT",Instagram,0,0.0
257,What social platform has influenced your online shopping most?,University,"Westport, CT",Snapchat,0,0.0
258,What social platform has influenced your online shopping most?,University,"Westport, CT",Twitter,0,0.0
259,What social platform has influenced your online shopping most?,University,"Westport, CT",None,0,0.0
260,What social platform has influenced your online shopping most?,University,Whitman College,Facebook,5,0.227
261,What social platform has influenced your online shopping most?,University,Whitman College,Instagram,5,0.227
262,What social platform has influenced your online shopping most?,University,Whitman College,Snapchat,3,0.136
263,What social platform has influenced your online shopping most?,University,Whitman College,Twitter,0,0.0
264,What social platform has influenced your online shopping most?,University,Whitman College,None,9,0.409
265,What social platform has influenced your online shopping most?,University,Thompson Rivers University ,Facebook,0,0.0
266,What social platform has influenced your online shopping most?,University,Thompson Rivers University ,Instagram,1,0.5
267,What social platform has influenced your online shopping most?,University,Thompson Rivers University ,Snapchat,0,0.0
268,What social platform has influenced your online shopping most?,University,Thompson Rivers University ,Twitter,0,0.0
269,What social platform has influenced your online shopping most?,University,Thompson Rivers University ,None,1,0.5
270,What social platform has influenced your online shopping most?,University,University of Central Florida,Facebook,0,0.0
271,What social platform has influenced your online shopping most?,University,University of Central Florida,Instagram,0,0.0
272,What social platform has influenced your online shopping most?,University,University of Central Florida,Snapchat,0,0.0
273,What social platform has influenced your online shopping most?,University,University of Central Florida,Twitter,0,0.0
274,What social platform has influenced your online shopping most?,University,University of Central Florida,None,2,1.0
275,What social platform has influenced your online shopping most?,University,University of Montana ,Facebook,0,0.0
276,What social platform has influenced your online shopping most?,University,University of Montana ,Instagram,2,1.0
277,What social platform has influenced your online shopping most?,University,University of Montana ,Snapchat,0,0.0
278,What social platform has influenced your online shopping most?,University,University of Montana ,Twitter,0,0.0
279,What social platform has influenced your online shopping most?,University,University of Montana ,None,0,0.0
280,What social platform has influenced your online shopping most?,University,University of Nebraska,Facebook,0,0.0
281,What social platform has influenced your online shopping most?,University,University of Nebraska,Instagram,0,0.0
282,What social platform has influenced your online shopping most?,University,University of Nebraska,Snapchat,0,0.0
283,What social platform has influenced your online shopping most?,University,University of Nebraska,Twitter,0,0.0
284,What social platform has influenced your online shopping most?,University,University of Nebraska,None,1,1.0
285,What social platform has influenced your online shopping most?,University,Whatsgoodly University,Facebook,0,0.0
286,What social platform has influenced your online shopping most?,University,Whatsgoodly University,Instagram,1,1.0
287,What social platform has influenced your online shopping most?,University,Whatsgoodly University,Snapchat,0,0.0
288,What social platform has influenced your online shopping most?,University,Whatsgoodly University,Twitter,0,0.0
289,What social platform has influenced your online shopping most?,University,Whatsgoodly University,None,0,0.0
290,What social platform has influenced your online shopping most?,University,Tufts University,Facebook,4,0.4
291,What social platform has influenced your online shopping most?,University,Tufts University,Instagram,3,0.3
292,What social platform has influenced your online shopping most?,University,Tufts University,Snapchat,0,0.0
293,What social platform has influenced your online shopping most?,University,Tufts University,Twitter,0,0.0
294,What social platform has influenced your online shopping most?,University,Tufts University,None,3,0.3
295,What social platform has influenced your online shopping most?,University,Texas Tech University,Facebook,0,0.0
296,What social platform has influenced your online shopping most?,University,Texas Tech University,Instagram,1,1.0
297,What social platform has influenced your online shopping most?,University,Texas Tech University,Snapchat,0,0.0
298,What social platform has influenced your online shopping most?,University,Texas Tech University,Twitter,0,0.0
299,What social platform has influenced your online shopping most?,University,Texas Tech University,None,0,0.0
300,What social platform has influenced your online shopping most?,University,Kansas State University,Facebook,0,0.0
301,What social platform has influenced your online shopping most?,University,Kansas State University,Instagram,0,0.0
302,What social platform has influenced your online shopping most?,University,Kansas State University,Snapchat,0,0.0
303,What social platform has influenced your online shopping most?,University,Kansas State University,Twitter,0,0.0
304,What social platform has influenced your online shopping most?,University,Kansas State University,None,1,1.0
305,What social platform has influenced your online shopping most?,University,University of Notre Dame,Facebook,0,0.0
306,What social platform has influenced your online shopping most?,University,University of Notre Dame,Instagram,0,0.0
307,What social platform has influenced your online shopping most?,University,University of Notre Dame,Snapchat,0,0.0
308,What social platform has influenced your online shopping most?,University,University of Notre Dame,Twitter,0,0.0
309,What social platform has influenced your online shopping most?,University,University of Notre Dame,None,1,1.0
310,What social platform has influenced your online shopping most?,University,University of Georgia,Facebook,0,0.0
311,What social platform has influenced your online shopping most?,University,University of Georgia,Instagram,2,1.0
312,What social platform has influenced your online shopping most?,University,University of Georgia,Snapchat,0,0.0
313,What social platform has influenced your online shopping most?,University,University of Georgia,Twitter,0,0.0
314,What social platform has influenced your online shopping most?,University,University of Georgia,None,0,0.0
315,What social platform has influenced your online shopping most?,University,Ohio University,Facebook,0,0.0
316,What social platform has influenced your online shopping most?,University,Ohio University,Instagram,0,0.0
317,What social platform has influenced your online shopping most?,University,Ohio University,Snapchat,0,0.0
318,What social platform has influenced your online shopping most?,University,Ohio University,Twitter,0,0.0
319,What social platform has influenced your online shopping most?,University,Ohio University,None,1,1.0
320,What social platform has influenced your online shopping most?,University,Washington State University,Facebook,0,0.0
321,What social platform has influenced your online shopping most?,University,Washington State University,Instagram,2,1.0
322,What social platform has influenced your online shopping most?,University,Washington State University,Snapchat,0,0.0
323,What social platform has influenced your online shopping most?,University,Washington State University,Twitter,0,0.0
324,What social platform has influenced your online shopping most?,University,Washington State University,None,0,0.0
325,What social platform has influenced your online shopping most?,University,Binghamtom University,Facebook,0,0.0
326,What social platform has influenced your online shopping most?,University,Binghamtom University,Instagram,0,0.0
327,What social platform has influenced your online shopping most?,University,Binghamtom University,Snapchat,0,0.0
328,What social platform has influenced your online shopping most?,University,Binghamtom University,Twitter,0,0.0
329,What social platform has influenced your online shopping most?,University,Binghamtom University,None,1,1.0
330,What social platform has influenced your online shopping most?,University,George Washington University,Facebook,0,0.0
331,What social platform has influenced your online shopping most?,University,George Washington University,Instagram,1,1.0
332,What social platform has influenced your online shopping most?,University,George Washington University,Snapchat,0,0.0
333,What social platform has influenced your online shopping most?,University,George Washington University,Twitter,0,0.0
334,What social platform has influenced your online shopping most?,University,George Washington University,None,0,0.0
335,What social platform has influenced your online shopping most?,University,University of Alabama,Facebook,0,0.0
336,What social platform has influenced your online shopping most?,University,University of Alabama,Instagram,1,0.2
337,What social platform has influenced your online shopping most?,University,University of Alabama,Snapchat,1,0.2
338,What social platform has influenced your online shopping most?,University,University of Alabama,Twitter,0,0.0
339,What social platform has influenced your online shopping most?,University,University of Alabama,None,3,0.6
340,What social platform has influenced your online shopping most?,University,University of Florida,Facebook,0,0.0
341,What social platform has influenced your online shopping most?,University,University of Florida,Instagram,1,0.333
342,What social platform has influenced your online shopping most?,University,University of Florida,Snapchat,0,0.0
343,What social platform has influenced your online shopping most?,University,University of Florida,Twitter,1,0.333
344,What social platform has influenced your online shopping most?,University,University of Florida,None,1,0.333
345,What social platform has influenced your online shopping most?,University,The College of New Jersey,Facebook,0,0.0
346,What social platform has influenced your online shopping most?,University,The College of New Jersey,Instagram,0,0.0
347,What social platform has influenced your online shopping most?,University,The College of New Jersey,Snapchat,0,0.0
348,What social platform has influenced your online shopping most?,University,The College of New Jersey,Twitter,0,0.0
349,What social platform has influenced your online shopping most?,University,The College of New Jersey,None,1,1.0
350,What social platform has influenced your online shopping most?,University,Florida State University,Facebook,0,0.0
351,What social platform has influenced your online shopping most?,University,Florida State University,Instagram,1,1.0
352,What social platform has influenced your online shopping most?,University,Florida State University,Snapchat,0,0.0
353,What social platform has influenced your online shopping most?,University,Florida State University,Twitter,0,0.0
354,What social platform has influenced your online shopping most?,University,Florida State University,None,0,0.0
355,What social platform has influenced your online shopping most?,University,Santa Clara University,Facebook,1,0.333
356,What social platform has influenced your online shopping most?,University,Santa Clara University,Instagram,0,0.0
357,What social platform has influenced your online shopping most?,University,Santa Clara University,Snapchat,0,0.0
358,What social platform has influenced your online shopping most?,University,Santa Clara University,Twitter,0,0.0
359,What social platform has influenced your online shopping most?,University,Santa Clara University,None,2,0.667
360,What social platform has influenced your online shopping most?,University,Appalachian State University,Facebook,5,0.172
361,What social platform has influenced your online shopping most?,University,Appalachian State University,Instagram,9,0.31
362,What social platform has influenced your online shopping most?,University,Appalachian State University,Snapchat,0,0.0
